action|n. [U, C]（战斗、战役或战争中的）作战，战斗
admiral|n. [C] 海军高级官员，如海军将官；海军上将；舰队司令
advance|vi. advance (on/towards sb/sth) 朝向某人或某事物前进（常为了攻击或威胁对方）
agent|n. [C] 专指政府的特工、特务或间谍。在词义本质上，agent与spy几无区别，但agent在公开场合和非公开场合均可使用，（如一国政府常把为本国从事这项工作的人对外称为agent，此时词义色彩比较中性；但外国尤其是敌对国对该国的这些人则可称为spy，此时词义色彩含有贬义）而spy则始终是一种secret agent，强调隐蔽性
aggression|n. [U]（一国对另一国的）侵略
aggressor|n. [C] 侵略者、挑衅者（即在打架或战斗中首先发起攻击者，可以是一个人、团体，也可以是一个国家）
airspace|n. [U] 领空，常指某国的空域
ambush|n. [C, U] 伏击某人、埋伏
ammunition|n. [U] 弹药
annex|vt.（用武力）吞并、占领（一个国家、地区等）
annihilate|vt. 消灭、歼灭
annihilation|n. [U]（对某人或某事物的）彻底毁灭
arm|n. [C] 复数名词arms可表示武器，尤指枪、炸弹等，为正式用法。还可指武器的总称，即军火，军备
arm|vt. 使爆炸装置（如炸弹、导弹等）处于准备爆炸的状态，不太常用
arm|vt.＆vi. arm yourself/sb (with sth) 提供武器以打仗，即武装
armaments|n. [C, usually pl.] 武器，尤指大型枪炮、炸弹、坦克等，如（飞机或军用车辆配备的）军火、军备
armaments|n. [U] 一支军队或一个国家增加武器的过程，尤指战备
armed|adj. 1 使用武器的
armistice|n. [sing.] 休战协议、停战协定
armour|n. 1 [C]（军舰、坦克等的）装甲、防弹钢板
armour|n. [C]（过去士兵穿的）盔甲、甲胄
armoured|adj. 1（尤指军用车辆）有装甲的
army|n. [C] 单数名词，指陆上作战部队，即陆军
array|vt. [常用被动式] [正式] 把兵力配置在阵地上（以做好打仗的准备）
arrow|n. [C] 箭
arsenal|n. [C] 制造或存贮武器的地方，即兵工厂、军火库
arsenal|n. [C] 武器的统称
artillery|n. [U]（常指有轮子的）大型重炮
artillery|n. [sing.] the artillery指炮兵部队
assault|adj.（武器）用于战争的、军用的
assault|n. [C] ~ (on/upon/against sb/sth)（军队等）攻击、袭击一个建筑物、地区等（以获取其控制权）
attack|n. [C, U] attack (on sb/sth) 在战争中使用武器所发起的攻击，即进攻。是此义的基本用词和常规用词，其词义涵盖了各种形式的攻击
attention|n. [U] 士兵的立正姿势
automatic|n. [C] 只要扣动扳机就能持续发射子弹的枪支，如自动手枪或自动步枪
barracks|n. [C] 营房；兵营（可以是一栋房子，也可以是一组房子）
barrage|n. [C, usually sing.] 火力网，（尤指掩护士兵前进或掩护士兵发动攻击的）火力掩护
barrel|n. [C] 枪管
base|n. [C, U] 陆军或海军等的军事基地，是此义的基础用词和常规用词
battalion|n. [C] [英]（军队的）营
