attitude|n. [C] [正式] 身体的一个姿势
blush|vt.&vi. ~ (with sth) (at sth)（因尴尬、害羞或发怒）脸红，涨红了脸
carry|vt. 保持自己的某种姿势；或做出某种姿势
clear|adj.（眼睛）明亮有神的
cloud|vt.＆vi. [正式] cloud (over) 指某人的脸色显得悲伤、恐惧、愤怒等；或使某人的脸色如此
countenance|n. [C] [正式或文学] 一个人的脸或其表情，即面容
crimson|adj.（因生气或害羞）脸通红的
dimple|vi.（尤指通过微笑）现出酒窝
dry|adj. [褒] 指幽默机警而不行于色的，常用来讽刺
expression|n. [C] 某人脸上（显露其想法或感情）的表情或神色，相当于look。是此义的常规用词
face|n. [C] 脸上的表情
fixed|adj. [只用于名词前]（面部表情）呆板的、不变的
flame|vt.＆vi. [文学] 人的脸因强烈情绪而变红；或使…变红
flare|vi. 脸突然变红
flush|vt.&vi.（人或脸）变红，尤指由于尴尬、愤怒、内疚或温度高而变红
flushed|adj.（人）（因成功、自豪、发怒等）脸红的
footwork|n. [U]（体育、舞蹈的）步法、脚法、脚步动作
gait|n. [sing.] 走路的方式，即步态
glow|vi. ~ (with sth)（人体或脸）（尤指因情绪激动、尴尬等而）发红、发热
grimace|vi. ~ (at sb/sth)（因痛苦、厌恶、想逗别人笑等）做出一个扭曲而难看的表情
light|n. [sing.]（人的眼中可以表现出其想法或感情的）眼神。不常用
look|n. [C] 眼睛的眼神或脸的表情。是从观看者的角度所下的定义。也较为常用。是“眼神”的一个常规用词
mobile|adj.（脸或面部特征）易于变化且经常变化的
mug|vi. [非正式，尤美] ~ (for sb/sth)（尤指在舞台上或摄影机前）扮鬼脸，扮怪相，做出蠢萌的动作
position|n. [C, U] 某人的坐立方式，即姿势，姿态
posture|n. [U, C]（坐或站立的）姿势
red|adj.（脸）由于愤怒、尴尬或害羞而变得亮红的，即涨红的，通红的
rise|vi. [正式] 脸色由于尴尬而变粉或变红
scarlet|adj.（脸）羞红的、涨红的
set|vt. 常用被动式，指使脸上现出坚定的表情
stride|n. [sing.] 走路或跑步的方式，如步态、步伐
tread|n. [sing.] 步态、步法
walk|n. [sing.] 步态
wear|vt. 在脸上拥有某种表情，即面带…；流露或呈现等
wince|vi. ~ (at sth) 因疼痛或因看到、听到或记起不快之事而突然做出表情，如龇牙咧嘴、皱眉蹙额
