apartment|n. 1 [C] [尤美]（通常指在同一楼层的）公寓套房
arch|n. [C] 上部是弧形，两边是直线的一种门，即拱门
arch|n. [C] 拱形结构（用以支撑其上部的重量），如支撑桥梁或房屋上部的弧形结构
architect|n. [C] 一个以设计建筑为职业的人，即建筑师
architecture|n. [U] 建筑设计，建筑风格
area|n. [C] 一栋建筑物中用作某个用途的一部分，即地方，场地，区
aspect|n. [C, usually sing.] [正式] 一栋建筑物（或一扇窗户、一片土地等）所朝向的方向；一栋建筑物上（朝向某个方向）的一个侧面。相当于orientation
attic|n. [C]（紧靠屋顶的）阁楼，顶楼（有屋顶，常用来储物）
auditorium|n. [C] [美] 举行公共会议、音乐会等的一个大型建筑或房屋，如礼堂、会堂
bachelor|n. [C] [加拿大] 单身公寓，相当于bachelor apartment
balcony|n. [C] 阳台（即建筑物上向外突出的一个平台，位于地面上方，由墙壁或栏杆围着）
basement|n. [C] 建筑物的地下室（部分或全部位于地面以下）
bay|n. 1 [C]（一栋建筑的内部或外部的土地）用标记分隔出来的一部分（例如用于停放车辆、存储物品等）；也可指（建筑物内外被部分包围起来以作特定用途的）隔区
beam|n. [C] 建筑物屋顶的房梁
block|n. 1 [C] [英] 一栋包含了一些公寓或办公室的高大建筑物；学校、医院等用于某一目的的若干建筑物。表此义时并不强调所有建筑物在外形上相似，而只强调功能的一致性，可算作是一种complex
boardroom|n. [C] 董事会会议室
booth|n. [C] 用屏风或薄墙与较大的公共区域隔开的一个小隔间，例如电话亭、投票间等
box|n. [C] 用于某一目的的一个小遮蔽处，如小亭，岗亭
brick|n. [C, U] 砖；砖块
build|vt.＆vi. build sth (of/in/from sth) / build sth (for sb) / build sb sth建造（具体指把各部分组合在一起来进行建造，且尤指建造房屋），建造者可以是人，也可以是其他动物
building|n. [C]（有房顶和墙壁的）建筑物。是此义的常规用词
building|n. [U] 建筑的过程或建筑工作
bungalow|n. 1 [C] [英]（只有一层，且无楼梯的）平房
capital|n. [C] 建筑中可指柱子（column）的顶端，也可叫做chapiter或cap
carpenter|n. [C] 制作、修理木器的人，即木匠，木工
castle|n. [C] 城堡（一种墙壁厚而高的建筑物，常由重要人物如国王、侯爵等所建造，用于抵御战争或战斗）
catch|n. [C] 门窗上面用于扎、扣、拴、系等的装置
cavern|n. [C] 黑洞洞的大厦
cavern|n. [C] 黑洞洞的大房间
ceiling|n. [C] 室内的天花板或顶棚（而非整个屋顶）
cellar|n. 1 [C]（通常用于存放物品的）地下室、地窖
cement|n. 1 [U]（粉末状的）水泥
chamber|n. [C]（公共建筑中的）大型会议厅
chamber|n. [C]（构成复合词）用于特定用途的一个房间
chimney|n. [C] 烟囱管道，也可指屋顶上的烟囱部分
closet|n. [C] [尤美] 墙壁里用于储物的一个空间，带有落地门，即壁橱。也可指此种家具
column|n. [C] 高高的、竖着的坚固的柱子，通常为圆形石柱（用以支撑建筑物或作为纪念之用）
complex|n. [C] 坐落在同一地方的，类型相似的一群建筑
concrete|adj. 由混凝土制成的
concrete|vt. concrete sth (over) 用混凝土覆盖
condominium|n. [尤美]（也可用非正式的condo）（每间套房属个人私有，但整栋建筑中的其它部分属于业主共有的）公寓楼；一套公寓住房；公寓的单元
construct|n. [C] [正式] 建造物；构筑物；制成物
construct|vt. 1 construct sth (from/out of/of sth) 常用被动式，指建造（房屋）。此时与build未见明显差别，但build还可以是不及物动词
construction|n. [C] [正式]（建筑或结构意义上的）建造物，构造物
construction|n. [U] 建造或制造（某事物的）结构的方式，即构造。如果说framework强调起支撑作用的总体“框架”，那么construction则强调所有的内外结构
construction|n. [U]（房屋、工厂、道路、桥梁等的）建造，建筑或施工
cottage|n. [C] 小房子，尤指乡村的村舍，有时可叫小别墅
court|n. [C] 与courtyard同义，即庭院
court|n. [C] 建筑物的宽敞开放的区域，常有玻璃房顶
court|n. [C] 英国用于一些大型宅第的名称
courtyard|n. [C] 也可用court，一些建筑物所部分（或完全）围起来的一块空地，且常作为一座城堡或一座大宅等的一部分，可称为庭院（有别于农家小院）
cubicle|n. [C] 大房间分隔出的（用作淋浴间或换衣间等的）小房间或小隔间
cupboard|n. [C] [英] [美为closet] 墙壁里用于储存物品的一个空间（其门与地面相接）
decorate|vt.＆vi. [尤英]（将房间或住宅的墙壁或天花板）刷上油漆、贴上墙纸等
decoration|n. [U] [英] 装饰（或装潢）的行为或过程（如对房屋内部进行的粉刷等）
decoration|n. [U] 某事物被装饰出来的风格
door|n. 1 [C]（建筑物的木头、玻璃或金属等材质的）门
downstairs|adv. 在楼下，到楼下（可指在楼下的任何一层，尤指在地面一层）
efficiency|n. [C] 一厅的小公寓房（居室兼作厨房，带有一个独立盥洗室）。相当于美式英语中的efficiency apartment
extension|n. 1 [C] [英] [美用addition] extension (to sth) 一个住宅上新增加的一个或一些房间
fabric|n. [sing.] the ~ (of sth) 建筑物的基本结构（如墙壁、地板、屋顶）
farm|n. [C] 农场上农人所居住的农舍
fence|n. [C] 栅栏，围栏，篱笆
finish|n. [C, U] 在某事物的表面所刷上或涂上的最后一层油漆、最后一道抛光等；还可指刷漆或抛光完毕后的表面状况
flank|n. [C]（建筑物的）侧面
flat|n. [C] [英] 一套供居住的房间（包括一间厨房，通常在一栋建筑的一个楼层上），即公寓；单元房。相当于美式的apartment
flight|n. [C] 两层楼之间的一段台阶或楼梯
floor|n. [C, usually sing.] 室内的可行走的地面，有时也可叫地板
floor|n. [C, usually sing.]（一栋建筑物内用于某一活动的）一片区域或场地
floor|n. [C] 楼层（在美式用法中，建筑物处于地面的一层称为first floor，在此之上的一层称为second floor。而在英式用法中则依次称为ground floor和first floor）
floor|vt. 常用被动式，给建筑物或房间铺设地面（或安装地板）
floorboard|n. [C] 木质地板条
folly|n. [C]（常见于旧时乡间豪宅花园中的）装饰性建筑（但没什么实际用途）
foundation|n. [C, usually pl.]（建筑物的）地基
framework|n. [sing.] 一栋建筑物（或一个物体）的框架、结构（起支撑作用，同时构成了其形状）
front|n. [C] the west, north, south, east, etc. 指建筑物（尤指教堂朝西、北、东、南等）的面
gallery|n. [C]（大厅后部或旁边的）楼上区域，可以叫廊台
gate|n. 1 [C]（栅栏或建筑物外面的墙壁的）大门，即栅栏门；围墙门
gloss|n. [U]（也可用gloss paint）亮光漆、光泽涂料（即干燥后表面坚硬闪光的涂料）
grid|n. [C]（金属或木制的、相互平行或交叉的）格子，格栅，栅栏
grill|n. [C]（置于窗前、门前以对其起保护作用的，由金属杆或铁丝做成的）铁栅栏或金属网罩
ground|n. [pl.] gounds（一栋大型建筑物周围的）场地或院子
hall|n. 1 [C] 举行公共活动（如举行会议、用餐或开音乐会等）的一座建筑或一间房屋
hang|vt. 往墙上贴壁纸
hatch|n. [C]（地面或天花板的）开口或门
keep|n. [C] 中世纪城堡的主楼（供人们居住）
kit|n. [C] 建筑构件
lacquer|n. [U]（刷在木材或金属上的）油漆
lacquer|vt. 给（木制品或金属）刷漆
lag|vt. ~ sth (with sth) [英] 给屋顶、水管或水箱等加防冻或保暖材料
landing|n. [C] 一段楼梯上面的楼梯口或楼梯平台；（两段楼梯间的）过渡平台
ledge|n. [C] 安装在墙上的一条窄窄的扁平架子，尤指窗台
level|n. [C] 建筑物的楼层。不过依然带有几何上的层级色彩。在使用上虽然与本组其它词没什么区别，但不如floor常用
light|n. [C] 建筑领域可指窗户，或允许光线进入的开口（或称光线进口，采光孔）
lime|n. [U]（也可用quicklime）石灰
lobby|n. [C]（英国议会的）民众接待厅（人们可在此处见到议员并与其交谈）
lounge|n. [C] [英]（酒店、旅馆等场所内部的）酒吧（该类酒吧通常较舒适，所售的饮料价格也比一般的酒吧贵），相当于lounge bar
manor|n. [C] [英]（也可用manor house）（通常指中世纪的）由土地所环绕的一座乡村大宅（土地归大宅主人拥有），即庄园宅第
mansion|n. 1 [C] 大型宅第、公馆
marble|n. [U] 大理石
module|n. [C]（建筑物的）组件、模块
mortar|n. [U] 由沙子、水、石灰和水泥混合而成的一种建筑材料，用于将砖或石头粘结起来，即灰浆；砂浆
open|vt. 为建筑物举行揭幕仪式（以此宣布启用该建筑物）
pad|n. [usually sing.] [旧时用法，非正式] 某人的住所，尤指公寓
paint|n. [U] 用刷子在…表面上粉刷的一种液体，即油漆、涂料（可以是为了颜色美观，也可以是对被粉刷对象起保护作用）。是此义的常规用词
paint|n. [sing.]（…表面上干燥的）油漆涂层
paint|vt.＆vi. paint sth (with sth)（给墙、物体等）刷油漆，刷涂料
painter|n. [C] 油漆等的粉刷工
painting|n. [U]（给门、墙壁等所做的）刷油漆
palace|n. 1 [C] 国王、女王、总统等所住的正式住宅，即王宫；宫殿；总统府等
paper|n. [C, U]（贴在墙壁上起装饰作用的）壁纸
paper|vt. 给墙壁贴壁纸。是将名词用作动词
perpendicular|adj. [建筑学] Perpendicular指垂直式的（英国14、15世纪盛行的建筑风格，以使用垂直线和大拱为特征）
picket|n. [C]（尤指栅栏的）尖木桩，尖板条
pile|n. [C] [正式或幽默] 一座大型的令人印象深刻的建筑
pile|n. [C] 被固定在地面下，用以支撑一座建筑、桥梁等的木头柱子（或金属柱、石柱），即桩
pillar|n. [C] 用于支撑桥梁、房顶等的大型圆柱子（可以是石头、金属或木质的，用于支撑桥梁、房顶等，通常具有一定的美学价值）
pinnacle|n. [C] 建筑物的小尖顶
plaster|n. [U]（石灰、水和沙子混合而成的）灰泥
plaster|vt. 用灰泥抹墙等
point|vt. 用灰泥给墙壁抹砖缝，即勾缝
rib|n. [C]（屋顶等的木质、金属或塑料材质的）肋拱，肋材
ridge|n. [C] 屋脊
roof|n. 1 [C]（覆盖着建筑物的）顶部，即屋顶
roof|vt. roof sth (in/over) / roof sth (with/in sth) 常用被动式，指给…盖上顶（如盖上屋顶）
room|n. 1 [C] 建筑物的（有某一用途的）房间，室（由墙壁、地板、顶棚组成）
screen|n. [C] [尤美] 纱窗或纱门（用以将昆虫隔绝在室外同时保持空气流通的网状门窗）
seat|n. [C] [英] 英国也可用country seat，指上层人士的乡村大宅第
service|adj.（建筑物或其他结构体的一部分）员工专用的（而非对公众开放的）
shutter|n. [C, usually pl.]（装在窗户外面的，对窗户起保护作用的）活动护窗、百叶窗
skeleton|n. [usually sing.] 建筑物等的主体骨架、框架
skyscraper|n. [C] 摩天楼
