after|prep. 与…对照或对比
against|prep. 用于比较两个事物
analogy|n. 1 [C] ~ (between A and B) / ~ (with sth)（两个事物之间的）相似、类似；类比、比喻
answer|n. [C] answer (to sth)（对于某地的一个人或事物来说）在另外一地的足以和其媲美的一个人或事物
answer|vt. [正式] 匹配，比得上
answer|vt. [正式] 适合，符合
applicable|adj. [名词前不常用] ~ (to sb/sth) 适用于…的
apply|vt.＆vi. apply (to sb/sth) 适用于…
appropriate|adj. appropriate (for/to sth)（对于某种情况或条件来说）合适的（或可接受的、恰当的）。相对正式
bad|adj. 只用于名词前，（在某种情况中）不合适的
bag|vt. [英，非正式]（在别人做出声称以前）声称拥有…；在别人得到…以前而将其占有，即抢占
become|vt. 1 [正式] 无被动式，适合某人
bee|n. [C] [美] 为特定目的所举行的聚会或比赛，往往集工作、竞赛和娱乐于一体
belong|vi. 在一种特定的情况中（或和特定的一群人在一起）感到舒服和开心，如适应、合得来
beside|prep. 与…相比
bracket|vt. [常用被动式] ~ A and B (together) / ~ A (together) with B 把…等同考虑、把…相提并论
catch|n. [sing.] [旧时]（所看中的适合于结婚或雇佣等的）对象
chase|n. [sing.] 对金钱、工作、成功的努力争取
chase|vt. 努力去获得或争取…，例如金钱、工作或成功
comparable|adj. 可比较的
compare|n. [sing.] [文学] beyond/without compare 同类中无与伦比、举世无双
compare|vi. compare with/to sb/sth与其他人或事物相似（无论其他人或事物是好还是糟），即与…同样好或同样糟
compare|vt. 1 compare A and B / compare A with/to B 将不同的人或事物进行对比或比较（以看其相似或相异程度）
comparison|n. 1 [U] ~ (with sb/sth) 对两个或两个以上的人或事物进行比较的行为，即比较
compatible|adj. 1 ~ (with sb/sth)（机器，尤指计算机）可共用的，即兼容的
compete|vi. 1 compete (with/against sb) (for sth)（与…）竞争，对抗，争夺。是一个基础用词，含义极广
competition|n. 1 [U] competition (between/with sb) / competition (for sth)（为某种资源而）竞争，角逐
competitive|adj. 1 竞争性的
consistent|adj.（论点、论据或一套观点）相互连贯的
contend|vi. ~ (for sth) 与某人竞争（以为了夺取…），即争夺
contention|n. [U] [正式] 比赛
contest|n. 1 [C] 比赛、竞赛
contest|vt. 争取赢得比赛
contrast|n. 1 [C, U] ~ (between A and B) / ~ (to/with sb/sth) 对两个或多个人或事物进行的对比、对照
contrast|vt. ~ (A and/with B) 对两个事物进行对比、对照（以找出差异）
cover|vt.（规律）适用于（某些人、事或情况）
decent|adj. 1 在某种情况中为人们所接受的，如合宜的、适当的
disagree|vi.（尤指食物）对…不适宜
disproportionate|adj. ~ (to sth)（在数量或尺寸上与其它事物相比）太大或太小的，如不成比例的
dispute|vt. 努力争夺对某事物的控制权，或努力赢得某事物（如竞争）
do|vt.＆vi. do (for sb/sth) / do (as sth)（对某人或某事物来说）合适。是一个简单用词
due|adj. 正式用法，指在某种条件下合适的，适当的，只作前置定语
duel|n. [C] 两个或两群人之间的竞争
duel|vi. 争斗
eclipse|vt. 使…的重要性黯然失色或相形见绌
emulate|vt. [正式] 因为羡慕某人而努力争取做得和他（或她）一样好，即努力赶上
equal|vt. 和…一样好，或和…处于同一标准上，即比得上
excellent|adj. 适合于
fair|adj. fair (to/on sb)（在某种情况中）合适的，适当的，可接受的，反义词为unfair
favourable|adj. ~ (to/for sb/sth)（条件）适宜的
favourable|adj. 比…好或至少跟…一样好的，如不逊于…的
fertile|adj. [常用于名词前]（环境或条件）适于…的
fight|n. [sing.] 比赛，竞争，尤指体育运动中的比赛，新闻用语中可表示体育比赛或竞选，即角逐
fight|vt.＆vi. fight sb/sth (for sth) 参加竞赛，竞争
final|n. [C]（一系列比赛的）决赛
fit|adj. fit for sb/sth / fit to do sth 合适的；品质恰当的；素质或技能合格的、能胜任的
fit|n. 1 [C, U] 常与形容词连用，适合，尤指衣服合身
fit|vt.＆vi. 1 形状和尺寸适合于某人或某物。是一个常规用词
fitness|n. [U] ~ for sth/to do sth 适合（某事物或做某事）、称职
fitting|adj. 1 [正式] 适合（某场合）的
