abracadabra|exclamation. 表演魔术、施魔法时所念的咒语
aggrandize|vt. 使某人看起来比实际上更富有、更有权势或更重要，即吹捧、吹嘘
amplify|vt.&vi. [正式] 给故事、陈述等添加细节
area|n. [C] 话题。不太常用
argot|n. [sing., U]（来自法语）（一群人所说的，别人难以理解的）行话
articulate|vt.&vi. 口齿清晰地说话
aside|n. 1 [C] 本不想让在场的所有人听到的话（常为低声说的话）
babble|n. 1 [sing.] 含混不清的话；胡言乱语
babble|vt.&vi. ~ (away/on) 急速而含混不清地说
bark|vt.＆vi. bark (out) sth 朝某人咆哮、厉声下令或发问等
battlefield|n. [C] 争论的主题，算是一种比喻用法
battleground|n. [C] 争论的主题，算是一种比喻用法
beckon|vt.&vi. ~ to sb (to do sth) 用手指或手向某人示意（尤指以此来让他们走近或跟随自己）
betray|vt. betray sb/sth (to sb) 向敌人泄露情报，常是无意识地泄露
blow|vt. 非正式，指泄露机密或暴露秘密
boast|vt.&vi. ~ (about/of sth) 自夸；自吹自擂
boom|vt.＆vi. boom (out) 以低沉有力的声音说话
breach|n. [C, U] ~ of sth 泄密
break|vt. break it/the news to sb（第一个将坏消息向某人）透露；说出（常指善意地说出不好的消息）
breathe|vt.＆vi. [文学] 安静地说，即轻声说
burst|vi. 突然说出
buzz|n. [sing.] [非正式] the buzz可指传闻、谣传
buzzword|n. [C]（报刊等媒体上的）时髦术语，流行行话
cant|n. [U]（尤指有关道德或宗教问题的）虚伪言辞
caricature|n. 1 [C] 对一个人或事物的夸张的描述
chant|n. [C]（一群人反复呼喊或唱出的）话语
charm|n. [C] 咒语、符咒。相当于spell
chatter|vi. ~ (away/on) (to sb) (about sth) 快速而连续地讲话，尤指讲琐事，如喋喋不休、唠叨
chorus|n. [sing.] a chorus of sth 可指很多人的齐声表达（表达同意、反对、批评或赞扬等态度），即异口同声的表达
clever|adj. [英，非正式，贬] 说话较快且使人恼怒或对听话者不尊敬的，如油腔滑调的，油嘴滑舌的
cloud|vt. cloud the issue 通过引入不相关的话题来混淆视听、搅混讨论或思虑
clumsy|adj.（陈述）无技巧的；或冒犯人的
connotation|n. [C] 文字（或名字）的主要意思之外的隐含意思
crisp|adj. [有时贬]（某人的说话方式）快速而自信的（表明此人繁忙或不友好），即干脆的、利落的
crow|vi. [贬] ~ (about/over sth) （尤指在其他人不成功时）扬扬自得地夸口，自鸣得意
cry|n. [C] 尤用于构成复合词，指（表达一个群体的信念并号召人们展开行动的）口号
cry|vi. cry (for sth) 大声喊叫，呼喊
cut|vt. 完全与某人终止沟通
dedication|n. [C]（书、戏剧、音乐作品等表演之前的）献词
definition|n. 1 [C, U]（尤指词典里给出的）定义，释义
dirt|n. [U] [非正式]（关于某人的）丑闻、流言蜚语
discourse|n. [U] [语言学] 作为研究之用的话语
distort|vt. 歪曲或改变事实、观点等使其不再正确或真实
distortion|n. [C, U] 对事实、观点等的歪曲
divulge|vt. [正式] ~ sth (to sb) 泄露、透露（秘密）
dramatic|adj. 戏剧般夸张的（以创造一种特殊的效果或吸引人们的注意力）
drawl|vt.&vi.（将元音拉长调子）慢吞吞地说
drift|n. [sing.] 某人所说或所写的大意、主旨、要点。相当于gist
drone|vi.（人）絮絮叨叨地说，喋喋不休地说（这种说话方式容易令人感到乏味、无聊或烦躁）
echo|vt. 重复或附和一个观点
embroider|vt. 对（故事、叙述等）添枝加叶渲染（添加的细节信息并非总是真实的）
emphatic|adj. 1（陈述、回答等）强调的、有力的
empty|adj. 常用于名词前，（某人的言语或行动）没有任何意思的（即空洞的）；说话不算数的，相当于hollow
enunciate|vt.&vi. 清楚地念字
erupt|vi. erupt (in/into sth) 突然强烈地表达出情感（尤指通过大声喊叫）
evade|vt. 回避（谈论某事）
evasive|adj. 不愿给出明确回答的，即回避提问的、含糊其辞的
exaggerate|vt.&vi.（将情况、属性、特征等）夸张、夸大。主语一般是人
exaggeration|n. [C, usually sing., U] 夸张、夸大、言过其实
exclaim|vt.&vi. 尤指由于强烈的情感（如激动、震惊、愤怒或痛苦）而突然惊叫或呼喊着说
falter|vi. 嗓音不自信地说（如嗓音发颤、犹豫或暂停）
fence|vi. fence (with sb) 对某人讲话时以聪明的方式来获得谈话优势，如搪塞、支吾、回避等
fend|vt.&vi. fend off sb/sth 避开，回避（难题、批评等）
firm|adj.（人的声音）坚决的，有力的
flannel|n. [U] [英，非正式]（不告诉对方想要的信息的）兜圈子的话语、应付性言语
flare|vi. 愤怒且凶狠地说
flat|adj. 只作前置定语，指（拒绝或否认）不允许协商或讨论、争论的，即断然的，明确的，绝对的
fling|vt. ~ sth (at sb) 气势汹汹地对某人说
flourish|n. [C]（讲话或文章的）修饰、华丽辞藻
