adrift|adj. [名词前不可用]（船只或船上的人在水上）漂浮、漂流
afloat|adj. [名词前不可用] 在水上漂浮
alight|vi. [正式或文学] ~ (in/on/upon sth)（鸟或昆虫）降落、飞落
babble|vi. 水流过石块而发出潺潺声
blast|vt. 向某人或某事物猛地喷射空气或水
bleed|vt. 从某事物上放掉气体或液体以使其正常运转
bob|vt.&vi. ~ (sth) (up and down)（使）在水中快速地做上下运动
bounce|vt.＆vi. 上下晃动；使某事物上下晃动
bounce|vt.＆vi. 从撞击的表面弹起或弹离
cascade|n. [C] [正式] 大量同时快速掉落的东西
cascade|n. [C] [正式] 大量的下垂物
cascade|n. [C] 大量水的倾泻
circle|vt.＆vi. circle (around) (above/over sb/sth)（尤指在空中）做环状运动，如盘旋等
collapse|vi. 在碎裂之后突然倒塌
current|n. [C]（海洋、江河、湖泊的）水流
dance|vi.（事物）轻快地跳动，具有一定的文学性
dangle|vi. 自由地悬垂或摆荡
descend|vt.&vi. [正式] 下降、下来、下去
descent|n. [C, U] 降落
dip|n. [C, usually sing.] 一次快速的上下运动
ditch|vt.&vi.（使）飞机在海上紧急迫降
dive|vi. 鸟或飞机在空中进行俯冲
down|vt. [非正式] 迫使某人或某事物倒在地上
drape|vt. ~ sth around/over/across, etc. sth 将（衣服、织物等）松散地悬挂（或披）在某人或某事物上
dribble|vt.&vi. 让唾液或其它液体从口中流出，沿着下巴流下，即流口水、垂涎
drift|n. [U, C] 海水或空气的流动。相当于current
drift|vi. 在水中或空气中平缓地沿某个方向移动，如漂流、漂移
drip|vt.&vi.（使）（液体）滴下
drizzle|vt. ~ sth (over sth) 像下毛毛雨一样向某个表面抛洒少量液体
drop|vt.＆vi. 1（偶然地）落下，掉下；或使落下
escape|vi. 气体、液体或热量从管道内、容器中、或一个地方漏出，尤指从孔洞或裂痕处漏出
exude|vt.&vi.（使）（液体）从某处渗出
fall|vi. 1（从高处）落下；掉落
fall|vi.（毛发或材料）下垂
flight|n. 1 [U]（动物）飞行、飞翔；也可指飞行能力
float|vi. 1（在水上或空中慢慢地）浮动；漂流；飘动；飘移，相当于drift。可以是静止状体，也可以是运动状态
flop|vi. 沉重或笨拙而不自主地悬挂
flop|vi. 沉重或笨拙而不自主地落下
flow|n. [C, usually sing., U] flow (of sth/sb) 某人或某事物向一个方向所做的一种稳定而持续的移动，即流动、流
flow|vi. flow (down/over sth)（衣服或头发）松散且自由地下垂
flutter|vt.&vi.（使）轻快地上下或左右移动。如颤动
flutter|vt.&vi.（使）轻快地左右移动。如飘动
flutter|vt.&vi.（鸟或昆虫的翅膀）轻快地上下运动，如振翅、拍翅
fly|vi. 指鸟或昆虫用翅膀在空中飞、飞翔。是此义的基础用词和常规用词，各种飞行都是一种fly
founder|vi. [正式] ~ (on sth)（船）沉没
fountain|n. [C] 受压力而喷射到空中的一股强烈的液体（或其他物质）流
from|prep. 从某个物体上垂下或伸出
glide|vi. 平稳而快速地移动或行走，尤指好像不费力地如此移动，如滑动、滑行
glide|vi.（鸟或飞机）利用气流来滑翔（而不用煽动翅膀或不用开启发动机）
gurgle|vi. 发出水从一个狭窄空间快速流出的声音，如发汩汩声、发潺潺流水声
gush|vi. ~ out of/from/into sth / ~ out/in（液体）从孔洞中大量、突然、快速流出，如涌出、冒出、喷出
gyrate|vi.（常指极快地）回旋
hail|n. [sing.] a ~ of sth 像冰雹一样向某人袭来的大量事物
hang|vi. 悬浮在空中
hang|vt.＆vi. 1 hang (sth) (up) 上端系在…上，下端悬垂，即悬挂，吊
hook|vt.＆vi. 用挂钩来悬挂…；被挂住
hover|vi.（价格、价值、分数等）左右摆动（而不发生大的变化）
hover|vi.（鸟、直升机、昆虫等）在空中的一个地方停留，如悬停
immerse|vt. ~ sb/sth (in sth) 使浸没于液体中
infiltrate|vt.&vi. ~ (into) sth [术语]（尤指液体或气体）慢慢渗入…
infiltration|n. [U]（液体或气体的）慢慢渗入
insecure|adj. 不牢固的
jar|n. [sing.] 一次令人不快的震动（尤指由突然晃动或相撞的两个事物所产生的震动或撞击）
jet|n. [C] 从某个小喷嘴快速喷出来的一股强烈的细气流、液体、蒸汽或火焰；也可指这种喷嘴
jolt|vt.&vi.（使）（某人或某事物）突然且猛烈地移动，如震动、颠簸
land|vi. 1 指鸟、昆虫降落到地面或其它表面，与take off相反
lash|vt.&vi.（使）某事物（如尾巴）迅猛地左右摆动或甩动
leak|vt.＆vi. 使（液体或气体）通过小孔或裂缝渗入或漏出
lurch|vi.（无法控制地）突然一蹿，尤指突然前倾，突然向一侧倾斜
lurch|vi.（无法控制地）突然晃动
mist|n. [sing.] 液体喷雾，例如从喷雾罐里喷出的雾。远不如spray常用
off|prep. 从某处落下或离开
ooze|vt.&vi. ~ from/out of/through sth / ~ out / ~ (with) sth（使）（一种浓液体）慢慢从某处渗出
oscillate|vi. [物理学] 摆动
oscillate|vi. [物理学]（电流、无线电波等）在强度和方向上规律地波动、振荡
over|adv. 向下并离开一个竖直或垂直的位置，即倒下、落下
overflow|vt.&vi. ~ (with sth) / ~ sth 因太满而从边缘溢出
overwhelm|vt. [常用被动式] [文学]（水）彻底淹没…
penetration|n. [U] 液体的渗透、渗入
perch|vi. ~ (on sth)（鸟）落在或停留在（树枝等上面）
percolate|vi.（液体、气体等）逐渐流过一个带有一些小孔或小空间的表面，即渗入、渗透、渗漏
permeate|vt.&vi. [正式]（液体、气体、气味等）扩散、弥漫、渗透到一个物体或地方的各个部分
pitch|n. [U] [术语] 船在水上的上下颠簸；飞机在空中的上下俯仰
pitch|vi. 朝某个方向猛地跌倒
plane|vi. 指鸟滑翔
play|vi. 指喷泉产生一股稳定的水流，即喷涌，涌流
plummet|vi.（通常指从高处朝地面）快速落下，陡直掉下
plunge|vi. 突然且剧烈地上下移动，即颠簸、震荡
plunge|vt.&vi.（使）某人或某事物突然向前下方冲（或单独向下冲）
pour|vt. 使液体或其他物质从容器中以一股的形式持续地流出（尤指通过使该容器处于一定角度），即倾倒
puff|vt.&vi. ~ (sth) (out)（使）（引擎、烟囱或锅炉）喷出、冒出（烟或蒸汽）
pump|vi. 指液体朝某个方向流出，好像受到泵的压力一样
pump|vt. 使…快速地做上下（或内外）运动，即快速摇动或摇晃
quake|vi.（大地或建筑物）震动，颤动
rain|vt.＆vi. rain (sth) (down) (on sb/sth) 如雨点般大量落下，或使…如雨点般大量落下
rebound|vi. ~ (from/off sth)（撞击某事物后）弹回、反弹
ride|vt.＆vi. 在水或空气中漂浮，或由水或空气支撑
rock|vt.＆vi. 1 前后（或从一侧到另一侧）轻轻地摇晃；使…做上述摇晃
roll|vi.（液滴）迅速向下滚落
run|vi. 1 指液体流淌，流动
running|adj. 1（水）活的，流淌的，流动的
rush|n. [C]（空气或液体的）急流
sag|vi.（尤指由于承重或压力）中间下垂
secrete|vt.（身体或植物器官）分泌液体物质
secretion|n. 1 [U] [术语]（动植物液体物质的）分泌
seep|vi.（液体或气体）少量且缓慢地流过或流入某事物，如渗透
settle|vi. settle (on/over sth) 从上面落下来并停留在某事物上；在某事物上停留一段时间
settle|vt.＆vi. 慢慢下沉；使…慢慢下沉。但该过程常有一个下限（即一般最终会静止于某处）
shake|vt.＆vi.（物品、建筑物、人等）做一些从一侧到另一侧（或上下方向）的短距离快速运动，即摇动，抖动，颤动，震动；也可表示使…摇动，抖动，颤动，震动
shaky|adj. 不稳固的；不牢固的；摇晃的
shed|vt. [英]（车辆）掉落（所拉的东西）
shower|vi. shower (down) on sb/sth / shower down 洒落到…上，尤指大量的小东西洒落
shudder|vi.（车辆、机器等）强烈振动、剧烈抖动
sink|vi. 1 在液体（如水）或柔软物质（如泥）里下沉，下陷，沉没。是此义的常规用词
slide|vt.＆vi.（在一个光滑或湿润的平面上）滑行；使…（在一个光滑或湿润的平面上）滑行。是物理学中“滑动”的常规用词
sling|vt.&vi.（在两点之间）吊起、悬挂
slip|vi. 1 slip (over) 偶然、意外地做短距离滑动且失去平衡，以致于倒下或将要倒下，即滑倒或将要滑倒
soak|vi.（液体）渗透
soar|vi. 在高空中飞翔或翱翔
spatter|vi.（液体）（常指有声地）滴落在一个表面上
spatter|vt.&vi. ~ sb/sth (with sth) / ~ sth (on/over sb/sth)（液体、脏物等）（尤指偶然、意外地）溅、洒在某人或某事物上。相当于splash
spew|vt.&vi.（使）某事物快速大量流出，如喷出、涌出、冒出
spill|n. [C, usually sing.]（尤指从自行车或船上）摔下、跌落
spill|vt.&vi.（使）（尤指液体）从边缘偶然流出，如洒出、泼出、溢出
spin|n. [C, usually sing.] 指飞行器（如飞机）的螺旋式下坠
splash|vi.（液体）带有声音地降落到一个表面上，如泼洒、噼里啪啦地落、哗啦哗啦地溅
splatter|vi.（大滴的液体）噼里啪啦地（即带有声音地）落下或击打
spray|n. 1 [U, C]（尤用于构成复合词）从容器中被以很多小液滴的形式喷出的一种物质，即喷剂
spurt|vt.&vi. ~ (out) (from sth)（液体或火焰）突然喷出或冒出；突然产生强烈的液体流或火焰
squirt|vt.&vi. 迫使液体、气体等通过一个狭窄的开口呈细流状快速喷射出去；或以此方式被喷射出去
stack|vt.&vi. ~ (sth) (up) 让飞机分层盘旋在机场上空等待着陆
stall|n. [C, usually sing.] 飞机的失速并向下坠落
string|vt. string A on, along, in, etc. B / string B with A 把…悬挂或系在…（尤指作为装饰物）
stumble|vi. ~ (over/on sth)（走路或跑步的时候）绊脚。相当于trip
submerge|vt.&vi.（使）没入水或其它液体的表面之下
submerged|adj. 被水淹没的；在水下的
subside|vi.（地面或建筑物）下沉、下陷、沉降（至地面以下）
subsidence|n. [U]（地面或建筑物的）下沉、下陷、沉降
sunken|adj.（只用于名词前）在江河湖海中沉没的
surface|vi. 上升到水面（或浮出水面），相当于emerge
surge|vi.（水）朝某个方向快速涌去
suspend|vt. be suspended in sth [术语] 在液体或气体中悬浮（而不移动）
suspend|vt. ~ sth/sb (from sth) (by/on sth) 悬挂、吊在…上
suspension|n. 悬浮液（即悬浮着细小固体颗粒的液体）；悬浮的状态
sway|vt.&vi.（使）慢慢地从一侧移动到另一侧，如摇摆
sweat|vi.（事物内部的水分）渗出表面
swing|vt.＆vi. 悬挂在一个固定的点上而做前后运动（或做其他从一侧到另一侧的运动），即摆动，摇摆，摇荡；也可指使…摆动，摇摆或摇荡
swing|vt.＆vi. 晃动
swoop|vi.（鸟或飞机）（尤指为了袭击某人或某事物）迅速向下飞，即俯冲
teem|vi.（通常用teeming）（雨）倾泻。相当于pour
throb|vi. ~ (with sth) 身体部位感觉到一种有规律的疼痛性的运动（如有规律地抽痛、跳痛等）
throw|vt. 使某人快速或剧烈地倒在地上
timber|n. [sing] timber! 砍树在树要倒下时用于警告人们，如倒啦，小心树要倒了
tip|vt.＆vi.（使）倾倒，翻覆，与tilt相同
toss|vt.&vi.（使）上下移动（如颠簸）
toss|vt.&vi.（使）左右移动（如摆动、摇摆）
tremble|vi. 轻微颤动或摇曳，相当于quiver
trickle|vt.&vi.（使）呈细流状缓慢流淌
trip|n. [C]（由于脚绊到…而）摔倒（或几乎摔倒）
trip|vt. 英也用trip sb up，绊某人的脚使其摔倒（或几乎摔倒）
undulate|vi. [正式] 轻柔而迷人地左右摆动、摇曳
vibrate|vt.&vi.（使）某事物左右小幅快速移动，即振动、颤动
vibration|n. [C, U] 持续的震动、颤动、抖动；感情的共鸣
waft|vt.&vi.（使）在空气中移动，如飘荡
waggle|vt.&vi. [非正式]（使）某事物做小幅的左右（或上下）移动
wash|vt.＆vi.（水）朝某个方向流动，或将某人（或某事物）朝某个方向运送。如流动、把…冲向…
wave|vi. 自由且轻轻地移动（例如在风中一端固定地飘扬）
well|vi. well (up) 指液体上升到…的表面且开始流淌，即冒出、涌出、流出、溢出
wheel|vi. 以旋转的方式来运动或飞翔。词义与circle几无区别，不过wheel仅为不及物动词
whip|vi. 某事物在外力（如风）的作用下猛然移动
wiggle|vt.&vi. [非正式]（使）快速、短促地左右摆动（或上下起伏）
wing|vt.＆vi. 飞，飞行，为文学用语。不常用
wobble|vt.&vi.（使）不稳定地从一侧移动到另一侧，如摇晃
wobbly|adj. [非正式]（某事物）不稳地、摇摇摆摆地移动
