aerial|adj. 1 从飞机上的
air|n. [U] 地面以上或事物周围的空间，即空中、天空
air|n. [U] 空气
air|vt.＆vi. [英] 使房间或建筑物通风；房间进入新鲜空气
angry|adj. [文学]（海或天空）黑暗且有暴风雨的
arid|adj.（土地或气候）干旱的、极为干燥的
atmosphere|n. [C]（房间、封闭空间或某处的）空气
atrocious|adj.（天气）恶劣的、糟糕的
bank|n. [C]（尤指被风吹到一起的）积云或积雪等
bank|n. [C]（尤指被风吹到一起的）积雪
bare|adj.（树木）没有叶子的，即光秃秃的；（乡村）没有植物或树木的，即荒芜的
blast|n. [C] 突然强烈的空气运动
bleak|adj.（地方）无遮掩的、空旷的、荒凉的、冷清萧瑟的、索然无味的
blizzard|n. [C] 暴风雪（即暴雪伴着强风）
blow|vt.＆vi. 1（风）刮或吹
break|vi. 天气突变，且常指好天气突变
breeze|n. [C] 微风、和风
breezy|adj.（天气）有微风的
brighten|vi. ~ (up)（天气）放晴
brush|n. [U] 一片灌木丛地带；灌木丛
burrow|n. [C] 动物（如兔子）在地下或木头里挖的洞穴或洞穴通道
bush|n. 1 [C] 灌木，是一种比正常树木矮小，且有很多树枝的大型植物
calm|adj.（天气）无风的
cell|n. [C] 大结构中的一个小室，如蜂窝的一个小室
clear|adj.（天空或天气）无云（或雾）的，即晴朗的。主要强调天空或天气“没有云或雾的”，给人一种澄澈的感觉
climate|n. 1 [C, U] 一地的气候
cloud|n. 1 [C, U] 云，云朵，云彩
cloudy|adj. 指天空或天气被云遮住的、阴云密布的、阴天的、多云的。是此义的常规用词
comb|n. [C, U] 六边形的一个蜂巢，相当于honeycomb
covert|n. 动物可藏身的矮树丛、灌木丛
crude|adj. [常用于名词前]（石油或其它自然物质）天然的、未经化学处理的
current|n. [C]（朝某个方向流动的）气流
cyclone|n. [C] 一种猛烈的热带旋风，即气旋
daylight|n. [U] 日光
dead|adj. 非生命的，非生物的
den|n. [C] 某类野生动物（如狮子、狐狸等）的隐蔽的兽穴
desolate|adj.（地方）空旷的、无人居住的、使人感到悲伤或恐惧的，如荒凉的
dew|n. [U] 露水、露珠
dismal|adj.（天气）阴沉的
downpour|n. [usually sing.] 倾盆大雨、暴雨、骤雨
draft|n. [C] [美] 吹进屋子（或其他封闭空间）里的一股风，相当于draught
draught|n. [C] 穿过一间屋子（或气体封闭空间）的一股凉风，即穿堂风、过堂风
drift|n. [C] 由风造成一大堆吹聚物（尤指雪堆）
drive|vi. 指雨、雪朝某个方向猛烈地运动
drive|vi. 指风朝某个方向猛烈地运动
driving|adj. [只用于名词前]（雨、雪等）急速而大角度地降落的，如猛烈倾斜而下的
drizzle|vi. 下毛毛雨
drought|n. [U, C] 长时间的少雨或无雨的状态，即干旱、旱灾
dry|adj. 1 雨水少的，即干旱的、干燥的
dull|adj.（天气）不晴朗的，多云的。即阴沉的，昏暗的，相当于overcast。强调昏暗的天气给人的心理造成的沉闷阴郁之感
earth|n. [C] 动物（尤指狐狸）居住的洞，即兽穴
ecology|n. [C, U] 生态
element|n. [C, usually sing.] 尤指动物的自然环境或适宜的环境
element|n. [pl.] the elements 指天气，尤指恶劣天气
environment|n. [sing.] the environment 指自然环境或生态环境
eye|n. [sing.] a/the eye of a/the storm, tornado, hurricane, etc. 风暴等的中心区域，即风眼
fair|adj. 天气晴朗的，相当于fine
fall|vi.（雨或雪）降落。其本身并不表示“下雨”，只有放在表示“雨”或“雪”的词后面，才能共同表示“下雨”或“下雪”
ferocious|adj.（天气现象）猛烈的
fierce|adj.（天气状况或温度）狂暴或恶劣的并可能造成损害的
filthy|adj.（天气）非常冷、湿且有风的
fine|adj. [尤英] 指天气晴朗的，可以是白天，也可以是晚上
flurry|n. [C] 短时间的少量雨、雪等，如小阵雨、小阵雪
fog|n. 1 [U, C] 雾。是此义的常规用词
