aberrant|adj. [正式] 反常的、不被社会接受的
abnormal|adj. 与通常状况（或人们所认为的状况）不同的，尤指含有令人担忧的、有害的或人们所反对的因素，即不正常的，异常的，反常的，变态的。与normal相反
absurd|adj. 完全荒谬的，荒唐的；不合逻辑且不合常理的。相当于ridiculous
absurd|n. [sing.] the absurd 可指荒诞（或看起来荒诞）的事物
act|n. [sing.] 假装
act|vt.＆vi. 假装。不如pretend常用
affect|vt.＆vi. [正式] 假装感觉（或假装思考）某事
amend|vt. 轻微修改法律、文件、声明等，使其更正确或更好，即修正、修订
amendment|n. [C, U] ~ (to sth) 对法律或文件等做的小改动，如修正、修改、修订
antics|n. [pl.] 荒唐的行为；危险的行为
artificial|adj. 实际与表象不符的，如虚假的，假装的，相当于fake
assume|vt. [正式] 假装有某种感情或品质，相当于put on
atypical|adj. 非典型的、反常的
authentic|adj. 1 人们知道…是真的且非一个复制版的，如真品的
authenticity|n. [U] 真实性；确实性
average|adj. 典型的；正常的（此时相当于normal）
base|adj. 伪造的。不过不常用
be|auxiliary verb. be not, never, etc. to be done 用于说明不会发生（或过去没有发生）的事
be|linking verb. 1 用于提供人或事物的名字、对其进行描述或提供关于他们的更多信息
bear|vt. 1 具有相似之处或关系，常用于否定句
begin|vi. not begin 可指没有去做某事的企图，或不选择去做某事
bizarre|adj. 极其古怪的
blue|n. [C] [澳大利亚；新西兰] [非正式] 错误
blunder|n. [C] 愚蠢（或粗心）的错误
blunder|vi. 犯愚蠢的（或粗心的）错误
boast|vt.（不用于进行时）有（值得骄傲的东西，如成就、财产等）
bogus|adj. 虚假的、冒牌的、伪造的
bottom|n. [C] 真实情况
camouflage|n. [U] 军事上的伪装（如用油彩、叶子或网对士兵或武器进行的伪装）
camouflage|vt. ~ sth (with sth) 通过将自己与周围环境打扮得相似（或与别的事物相似）来进行军事伪装
cardboard|adj. [只用于名词前] 看起来不真实的
carry|vt. 1 具有…，例如具有某种品质或特点
case|n. [sing.] the case (that ...) 真实情况，即事实
charade|n. [C] 一眼就可被看穿的伪装；做戏；装模作样
cherish|vt. [正式] 长期怀有一个想法、希望或好的感情、记忆等
classic|adj. [非正式] 用于That’s classic!结构，表示认为某事有趣的，或认为某人愚蠢（或令人讨厌）而又不足为奇的
clinical|adj.（思想、行为）非常符合逻辑的，不带感情的
cock-up|n. [C] [英，非正式]（打乱了原先所作安排的）差错
cold|adj. the cold facts/truth 指事实真实的、客观的
contrived|adj. [贬] 提前预谋而不自然、不真实的；写得（或安排得）不自然的、做作的；虚假的、捏造的
conviction|n. [U] 肯定
correct|adj. 1 准确的；没有任何错误的，精确的；正确的。相当于right
correct|vt. 1 通过改动或清除错误来使某事物正确或准确，即改正，纠正，修正。是一个常规用词
correction|exclamation. [非正式] 想纠正自己刚说过的话时用，如更正，不
correction|n. 1 [C] 改正，纠正，修正
correctness|n. [U] 正确性
cover|vi. cover for sb 为避免他人陷入麻烦而编造一个谎言或借口
crazy|adj. [尤美，非正式] 不理智的，愚蠢的，可称为疯狂的
creepy|adj. [非正式] 怪异得让人紧张的
cure|vt. cure sb of sth 纠正某人的行为（尤指纠正不良行为）
curious|adj. curious (that ...) 奇怪且不寻常的。但不如strange常用
definite|adj. [名词前不可用] ~ (about sth) / ~ (that…)（一个人对别人说某事时）对某事的真实性表示肯定、有把握，或表示此事必然会发生
defy|vt. ~ belief, explanation, description, etc. 不可能（或无法）相信、解释、描绘等
denial|n. 1 [C] ~ (of sth/that…)（对真实性或存在性的）否认
denote|vt. [正式]（符号等）代表…，是…的标记
deny|vt. 否认、否定
deviant|adj. 大多数人认为不正常的
devoid|adj. ~ of sth 完全没有的、毫无…的
disguise|n. 1 [C, U] 伪装用具
disguise|vt. ~ sb (as sb/sth) 伪装（使别人认不出）
doctor|vt. 篡改（以欺骗人）
eccentric|adj.（在其他人看来）古怪的、异乎寻常的
entertain|vt.（不用于进行时）[正式] 心存、怀有（想法、希望、感觉、态度等）
erroneous|adj. [正式] 错误的；基于错误信息的
error|n. [C, U] error in sth/in doing sth 一个错误，尤指造成问题、麻烦或影响某事之结果的一个错误，还可称为差错或谬误。暗示着对某个标准的背离
explicable|adj. [名词前不可用] [正式] 可被理解的
extraordinary|adj. 奇怪的
fabricate|vt. [常用被动式] 编造或捏造错误信息（以误导别人）。相当于make up
