abate|vt.&vi. [正式]（使）减少
absorb|vt. 常用被动式，使（小事物）并入到（大事物）
accommodate|vt. 为某人或某事物提供足够的空间，如容纳
accrue|vi. [正式] ~ (to sb) (from sth) 好处等（在一段时间内）增长
accumulate|vt. 某事物在一段时间内逐渐变得越来越多，即积累，相当于amass。是一个常规用词
accumulation|n. [C] 积聚物；（长时间的）积累物
add|vt.＆vi. add sth (to sth) 把…添加到另一个…上（以增加其尺寸、数量、程度等），即增加；添加
addition|n. 1 [C] addition (to sth)（被添加到另外一个事物上的）增加物；添加物
adrift|adj. [名词前不可用] 不再固定在一个固定位置上的，如脱开的、松开的
again|adv.（在原有数量的基础上）增加
agitate|vt. [术语] 搅动或摇动某事物（尤指液体），使其做圆形运动
agitation|n. [U] [术语] 液体的搅动或摇动
alignment|n. [U, C]（国家、团体间的）结盟、联合，或在争端或斗争中形成统一战线，尤指政治结盟
all|det. 1 与复数名词连用，名词前可用the、this、that、my、her、his等，也可用数词。表示全部，所有，一切
allied|adj.（经常用Allied）[只用于名词前]（国家、军队、政党等）同盟的、结盟的；（国与国协同作战）结盟的，联盟的；（第一次世界大战期间）协约国的；（第二次世界大战期间）同盟国的
allotment|n. [C, U] [正式] 分配的过程
allotment|n. [正式] 分配给某人的某事物的数量
ally|vt.&vi. ~ (yourself) with sb/sth 与（别的组织或国家）结盟
alone|adj.（不用于名词前）＆adv. 1 独自（即没有其他任何人）
along|adv. 与某人一起或一道
aloof|adj. [名词前不可用] 置身事外的
alternative|adj. 只用于名词前，与通常或传统的行为方式不同的，如非传统的、另类的
altogether|adv. 在提出一些不同的内容之后，用于引出一个总结，如总之，总而言之
amass|vt. 收集，尤指大量收集
amass|vt. 积累、积聚，尤指大量积累或积聚（金钱、信息等）
amass|vt. 集结，尤指大量集结
among|prep. 在三者或三者以上的人或事物中分配或选择某事物
among|prep. 被包括在（或发生在）一群事物或人之中，即…之一
anatomy|n. [C, U] 动植物的结构、构造
ancillary|adj. 附属的、附加的但是不重要的
another|det., pron. 1 又一；再一；额外的一个；另一（事物或人）
apart|adv. 不在一起，分开，分离
apart|adv. 成各个小部分
apart|adv. 用于表示…不包含在你所说的范围之内，即除外
around|prep. [尤美] [英常用round] 围绕（某个主题）
articulate|vi. ~ (with sth) [正式] 与另一者合成一个整体
ascend|vt.&vi. [正式] ~ (to sth) 登山、登上楼梯、向上攀登
ascent|n. 1 [C, usually sing.] 向上行走或攀登的旅程
ascribe|vt. ~ sth to sb/sth [正式] 认为…具有某种品质或属性
aside|adv. 用于名词后，表示除…以外。不如apart常用
assemble|vt.&vi. 聚集成一个群体；使人或事物聚集成一个群体
assembly|n. [U, C]（一群人为某一目的所进行的）聚集、集合；也可指此类集合者
assign|vt. ~ sth (to sb) / ~ (sb) sth 把某物分配给某人使用
associate|adj. 与某一专业领域（或职业、组织）联合的（或有关联的）
attach|vt.＆vi. [正式] attach to sb/sth 与某人或某事物有联系；把某事物与另一事物关联起来
attached|adj. 连接到某事物上的
attachment|n. [U, C] 连接；连接物
attribute|n. [C] 某人或某事物的品质、属性、特质或特征
attribute|vt. ~ sth (to sb) 将品质等归于某人或某事物
augment|vt. [正式] 增加（数量、价值、尺寸、规模等）
away|adv. 1 去别处；朝向一个不同的方向
axe|vt. [英] [美式英语用ax] [常用被动式] 精简（机构等）；大量削减（经费等）
bag|n. [C, usually sing.] 指一次所猎获的全部鸟或动物
bail|vi. [美，非正式] 离开一个地方，尤指迅速离开
bald|adj.（言语）不需要任何额外信息或细节来解释便能理解的，如不加赘述的、简单的
balloon|vi.（数量）激增，猛涨，快速膨胀。是一个形象化用词，不常用
bank|n. [C] 收集起来的一定数量的事物，即收集物
bank|vt. bank sth (up) 使某物堆积起来
bar|prep. 除…之外，与except同义
barricade|vt. barricade yourself in/inside (sth) 把…堵住或隔离
barrier|n. [C] barrier (between A and B) / barrier (against sth) 存在于两个事物或人之间，将彼此分隔开的东西，即屏障、分界线、隔阂
base|adj. 贬值的
base|n. [C, usually sing.] 混合物的首要或主要成分，主要配料
beat|vt. beat sth (up) / beat A and B together 用叉等迅速搅拌使…混合
behind|adv. behind (with/in sth) 积压（工作）
besides|prep. 除了（某人或某事物）之外还…（是一种加和概念）
between|prep. 由两个或多个人（或事物）所共享或共用
between|prep. 通过两个或多个人（或群体）的共同努力
between|prep.（一条界线）分隔着两个地方
beyond|prep. 除…外
bind|vt. ~ A and B (together) / ~ A to B 将人员、组织机构等联合在一起（使其更好或更有效地生活或工作）
bit|n. [C] [尤英]（某个更大事物的）一部分
blanket|adj. 只用于名词前，包括或影响到所有可能的情形或人员的
bleed|vi.（颜色或物质）掺混或渗开（到其他颜色或物质里）
blend|n. 1 [C]（不同类型东西的）混合品，混合物
blend|vt. ~ A with B / ~ A and B (together) 将两种或多种物质混合
blowout|n. [C]（数量、价格的）突然上涨
bond|n. [C] 两个事物结合在一起的方式，即结合，连接
bond|vt.＆vi. bond (A and B) (together) / bond (A) to B 使牢固地结合，把…紧紧地连接到…上
boost|n. 1 [usually sing.] 增长
boost|vt. 使…增加
boost|vt. 提高信心或士气
bounce|n. [C] 突然增加
bounce|vt. [尤美，非正式] bounce sb (from sth) 迫使某人离开一个地点等
breakdown|n. [C, usually sing.] 通过研究一系列数字所得到的详细信息
breakdown|n. [U] [术语] 物质的分解
brew|n. [C, usually sing.]（不同思想、事件、物质等的）交融、混合
bridge|n. [C] 在两个不同的事物之间起联系作用的一个事物，即桥梁、纽带
bridge|vt. 拥有两种极为不同的事物的一些共同品质，即结合（极为不同的两者）
build|vt. 使…成为一个政策、体系或产品等的一部分
build-up|n. [sing., U] 在一段时间内逐步的增长
bulge|n. [C] 某事物的数额的暂时性的激增
but|conj. 把…排除在外，即除…之外
but|prep. 把…排除在外，即除…之外
carnival|n. [sing.] [正式] ~ of sth 激动人心的事物组合；五彩缤纷事物的组合；八音齐奏
cast|n. [sing.] [英，非正式]（人或事物的）特性、特征
cement|n. [U] [正式]（将有共同利益的人们联合起来的）凝聚力
censor|vt. 删剪（书籍、电影等中被认为犯忌、违反道德或政治上危险的内容）
character|n. 1 [C, usually sing., U]（事物、事件或地方的）特点，特征，特色。与nature近义。是一个常规用词，含义最广泛，也最常用
characteristic|n. [C] characteristic (of sth/sb) 某事物或某人所具有的一个典型特征或品质
chop|vt. [非正式] [常用被动式] 大幅度地削减、降低
cleanse|vt.（军队）用武力将一群人从某地驱逐出去
clear|adj. clear (of sb/sth) 不用于名词前，不接触某事物的，离开某事物的
clear|adv. clear (of sth) 离开某事物；不靠近或不接触某事物
clear|vt. 使人们离开一个地方
climb|n. 1 [C] 攀登，爬阶梯等；攀登所用的时间
climb|vt.＆vi. clime (up/down) (sth) 向上或向下爬（如爬山、爬树或爬梯子等），其中向上爬可叫攀登
clip|vt.&vi. 削减，缩短（时间）
clump|vt.&vi. ~ (together) / ~ A and B (together) 聚集（或被聚集）成一个紧紧聚在一起的群体
cluster|vi. ~ (together)（人）聚集到一起形成一个小群体
coalition|n. [U] 两个或多个团体的联合、结合
cocktail|n. [C]（尤指不宜搭配在一起的材料构成的）混合物
collateral|adj. [正式] 附属于的、附带的、附加的（不如主体重要）
collect|vi. 人们来到一个地方而形成一个更大的群体，如聚集、集合，相当于gather
collect|vt. 1 collect sth (from sb/sth) 从不同的人或地方那里把一些东西弄到一起，可称为收集、采集，相当于gather
collect|vt.＆vi. 在一个地方的数量逐渐增加；在一个地方逐渐获得越来越多的某东西。如积聚、积累，相当于accumulate
collection|n. [C, U] 从一个地方将某东西取走的行为（如取走、拿走）；把一些事物带到一个地方的行为（如收集）
collection|n. [C] 被收集起来的一组物品（常指同类事物）
collective|adj. 1 [常用于名词前] 为一群人所共有的；或涉及到整个人类群体或社会的
collector|n. 1 [C]（尤用于构成复合词）收藏者；收藏家
coloured|adj. Coloured可指（南非）一个人的父母来自不同种族的，即混血种的
combination|n. 1 [U] 将两个或两个以上的事物结合或混合以形成一个整体的行为，即结合；联合
combination|n. 1 [U] 混合
combine|vt.＆vi. 1 combine (sth) (with sth) / combine A and B (together) 结合到一起以形成一个单一的事物或群体；将两个或多个事物（或群体）结合到一起以形成一个单一体
common|adj. common (to sb/sth) 常用于名词前，为两人、多人或一群人所共有的、共享的、共同享有的
communicate|vi. 两个房间相互挨着，且能从一个进入到另一个，即相连通
complement|vt. 补充（以起到改进作用）
complementary|adj. 1 ~ (to sth)（两个人或事物）互补的
complete|adj. complete with sth 不用于名词前，包含（或含有）额外部分或特征的
complete|adj. 包含了所有必要部分等的，全部的，完整的，整个的
complete|vt. 使某事物完整或完美
complex|adj. 由很多相互关联的不同事物或部分组成的，即复杂的；还可指难以理解的，即难懂的，费解的
complexion|n. [usually sing.] 某事物的总体特点、特质或特性
complexity|n. 1 [U] 复杂性；难懂
complicate|vt. 使某事做起来更难，使…难以理解或处理。即使…复杂化
complicated|adj. 由很多相联系的事物或部分组成的（即复杂的）；难以理解的；难处理的
component|adj. 组成的
component|n. [C] 某事物的组成部分
compose|vt. [无被动式]（不用于进行时）[正式] 组成、构成一个整体
composed|adj. be composed of sth 由…组成（或构成）的
composite|adj. [只用于名词前] 由不同部分组成的；由不同材料制成的
composition|n. [U] 成分；构成方式
compound|adj. [只用于名词前] [术语] 由两个或两个以上事物构成的，即复合的
compound|n. [C] 由两个或两个以上的事物构成的一个事物，可称为混合物、复合物
compound|vt. [常用被动式] [正式，或术语] 混合、掺和
compound|vt. be compounded of/from sth [正式] 由…构成或形成
comprehensive|adj. 包含可能涉及的全部（或几乎全部）事项、细节、事实、信息等的，如详尽的、全面的
comprise|vt.（不用于进行时）是（某事物的）组成部分，即组成、构成。相当于make sth up
comprise|vt.（不用于进行时）（也可用be comprised of）包含（人或事物作为其成员）。相当于consist of
concentrate|vt. 把…集中到一处
concentrated|adj.（某事物在空间或时间上的存在或发生）密集的、集中的
concentration|n. [C] ~ (of sth) 很多事物在某地的集中、聚集
conglomerate|n. [sing.] [正式] 组合成一个整体的一些事物或部分
congregate|vi. 聚集
connect|vt.＆vi. connect A to/with B / connect A and B 将两个或多个地点或事物连接（或联结）起来；被连接（或被联结）到一起
connection|n. 1 [U, C] connection (to sth)（行为意义上的）连接；（状态意义上的）处于被连接的状态
consist|vi. consist of sth 由（一些事物或人）构成。这些人或事物是并列关系，且通过某种组合形式来共同构成一个有机整体
consolidate|vt.&vi. [术语]（使）事物结成一体，如合并
conspire|vi. ~ against sb/sth / ~ to do sth（事件）似乎共同导致不良后果
constituent|adj. [只用于名词前] [正式] 组成的、构成的一个整体的
constituent|n. [C] 某事物的构成要素
constitution|n. 1 [U, C] 某事物的构成或组织方式，为正式用法。与structure同义，如
contain|vt. 某事物（在其内部）包含别的事物；或某事物以别的事物作为其一部分。可称为包含、含有、容纳。是一个广义用词，含义极为广泛
continuation|n. [C] ~ (of/in sth) 附加到其它事物上以形成一个整体的一个事物，如附加物、延续物
contribution|n. [C] contribution (to sth) / contribution [toward(s) sth/doing sth] 一部书、一本杂志、一个广播节目、一次讨论等的一部分
couple|vt. couple A (to B) / couple A and B together 常用被动式，把某事物的两个部分（如车辆或设备）连接起来
cover|vt. 包括，包含；涉及；处理。是一个形象化用法。一般仅指某个事物在范围上“涵盖”了…，而不表示contain那种空间上“容纳”某些事物
crash|vt. [非正式] 未受邀请而参加或出席一个聚会，相当于gatecrash
cream|vt. 把混合物搅成糊状
creep|vi.（比率或数值）逐渐增长
crest|vt. [正式] 达到山顶、波峰或浪尖
cross|n. [C, usually sing.] cross (between A and B) 两种不同事物的混合物
crude|adj.（物体或艺术品）粗糙的、粗制的
cumbersome|adj. 1 缓慢且复杂的、复杂而低效的
curtail|vt. [正式] 削减数量
cut|n. [C] cut (in sth)（数量、尺寸、供给等的）减少，削减
cut|n. [C]（尤指钱的）份数，份额。不太常用
cut|vt. cut sth (by ...) / cut sth (from ...) (to ...) 减少，削减。是一个形象化用词
cut|vt. cut sth (in/into sth) 用刀等将某物切成若干份
cutback|n. [usually pl.] ~ (in sth) 削减、减少
decline|n. [C, usually sing., U] decline (in sth) / decline (of sth)（某事物的数量、价值、质量等的）持续降低、减少、下降
decline|vi. 变得更小、更少等
decompose|vt.&vi. ~ (sth) (into sth) [术语]（使）某事物分解
decrease|n. [C, U] decrease (in sth) / decrease (of sth) 减少某事物的过程；或某事物的减少量。相当于reduction
decrease|vt.＆vi. decrease (from sth) (to sth) 某事物的尺寸、数量等变得越来越小；使某事物的尺寸、数量等变得越来越小。是一个常规用词之一
dedicated|adj. [只用于名词前] 有专门用途的、专门为…而设计制造的
deduction|n. 1 [U]（从总数中）减去或扣除某个数额，尤指扣除某个金钱的数额
deflection|n. [U, C, usually sing.] 移动中的事物的突然转向（尤指击中某物后的转向）；使某事物转向的行为
departure|n. [C, U] departure (from ...) 离开一地的行为；还可指此种离开的事例。即离开，与arrival相反
deplete|vt. [常用被动式] 大量减少某事物（的库存或数量）使其不足，如消耗
deport|vt. 把（罪犯或无合法居留权的人）驱逐出境
deportation|n. [C, U] 对违法者或无合法居留权的人进行的驱逐出境、递解出境
descent|n. [C, U] 下降
desert|vt. 1 常用被动式，从某地离开（使该地变空），相当于abandon
detach|vt. ~ yourself (from sb/sth) [正式] 使自己离开某些人
detach|vt.&vi. ~ (sth) (from sth) 将某事物从一个更大的事物上移除；从某事物上分离开来（即脱离某事物）
detachable|adj. 可被拆卸的
detached|adj.（房子）不与其它房子相连接的，如独立式的
detachment|n. [U] 拆卸
detachment|n. [U] 脱落；离开
detail|n. 1 [C]（事实或信息的）细节、细微之处、琐碎之处
detailed|adj. 给出很多细节和很多信息的，如详细的、详尽的；对细节极其关注的
deviate|vi. ~ (from sth) 偏离；背离；违背
devoted|adj. ~ (to sth) 专用于…的
different|adj. [非正式] 不常用于名词前，不寻常的，与其他人或事物不同的
different|adj. 只用于名词前，分别的，各自的
diminish|vt.&vi.（使）…减少
diminution|n. [C, usually sing.] ~ (of/in sth) [正式] 减少；减少量
dip|n. [C]（通常指短暂的）数量的减少
dip|vt.＆vi. 下降；下沉（到一个更低的水平）；使…下降；下沉。相当于fall
direct|vt. 把注意力、情感或行动集中于某个人或某件事
discharge|n. [U, C] ~ (from sth) 正式准许（或告诉）某人让其离开某地，尤指让某人出院、退伍或将其免职
discharge|vt. [常用被动式] ~ sb (from sth) 给予某人正式许可，让其离开一个地方
dismiss|vt. 把某人打发走，或让其离开
dismissal|n. [U, C] 解散、打发走
displace|vt. [常用被动式] 迫使（某人）离开家园
displacement|n. [U] 迫使人们离开其居住的地区或国家，即被迫迁徙
disposition|n. [C, U] [法律]（财产、金钱的）正式分配
dissolve|vt. 解散（团体或机构）
distinction|n. [sing.] 特殊事物的品质，如特质，特点，不同凡响等
distinctive|adj. 独特的、有特色的
distribute|vt. distribute sth (to/among sb/sth) 把一些事物给很多人；在一群人之间分配某事物。如分发、分配
distribution|n. 1 [U, C] 某事物在某群人之间的分配
diverge|vi. [正式] ~ (from sth)（道路、线等）朝不同的方向分开，即分叉
diversion|n. [C, U] 改变某人或某事物所跟随的方向，或改变用途。如转向；转移；偏离
divide|vt. 1 [正式] divide A from B 使（两个人或事物）分开或分离
divide|vt. 1 divide sth (up/out) (between/among sb) 把…分成不同的部分并分配给不同的人等，即分配、分享、分担，相当于share (out)
divide|vt.＆vi. divide (sth) (up) (into sth) 分开或分成各部分；使…分开或分成各部分。相当于split up
divisible|adj. 可被划分为…类的
division|n. [U, sing.] division (of sth between A and B) / division (of sth) (into sth) 分开（或分隔、分配）的过称或结果
divorce|n. [C, usually sing.] [正式] divorce (between A and B) 分离；两个事物之间关系的终止
divorce|vt. [正式] divorce sb/sth from sth 常用被动式，将一个人、一个思想、一个主题等与…分开；使两个事物分离
dock|vt. ~ sth (from/off sth) 扣除某人的部分工资等
down|adv. 1 在一个较低的水平或比率上
drift|n. [U]（船只或飞机由于气流或风向所导致的）偏航
drive|n. [C] 追赶动物或敌人，使其进入一个更小的区域，尤指为将其杀害或捕捉住
drive|vt. 迫使…向某个方向移动，即驱赶
drop|n. [C, usually sing.] drop (in sth)（某事物的数量、水平、数字等的）下降；下跌；减少
drop|vt.＆vi. 变得（或使…变得）更弱、更低或更少，相当于fall
dwindle|vi. ~ (away) (to sth) 逐渐变少或变小
ease|vt.&vi.（使）价格或价值降低
edge|vi. 略微增加（或减少）
either|det., pron. 1 两者中的任何一个
eject|vt. [正式] ~ sb (from sth) 迫使某人离开一个地方，如驱逐、逐出、赶出
elegance|n. [U]（文字、计划或想法的）简练、简洁、简明
elegant|adj.（计划或想法）聪明但简洁的，简要的，简练的。具有一定的褒义
element|n. 1 [C] ~ (in/of sth) 某事物的一个必要或典型部分，即要素、基本部分
elementary|adj. 非常简单容易的
else|adv. 用于疑问句或nothing、nobody、something、anything等之后。1 除了已提到的事物之外还有…，即别的、其他的
embrace|vt. [正式] 包括、包含（一群人、事物、思想等）
empty|vt. 确保每一个都离开一个房间、建筑物等，相当于evacuate
encompass|vt. [正式] 包含、包括大量或大范围的事物
