absolute|n. [C] 被认为在任何条件下都属实或有效的一个想法或原理，可称为绝对真理
accord|vi. ~ (with sth)（与…）一致，符合，配合
accordingly|adv. 照着
accordingly|adv. 相应地
accustomed|adj. accustomed to sth/to doing sth 对某事物熟悉的并认为其是平常的，即习惯于，相当于used to
advertisement|n. [C] advertisement for sth 展现某事物良好品质的一个例子，英式英语也用advert
affinity|n. [U, C] [正式] ~ (with sb/sth) / ~ (between A and B) 两个具有相似品质、结构或特征的人或事物之间的一种关系，可称为类同
after|prep. 以某人（或某事物）的方式，模仿，仿照
agree|vi. agree (with sth) 与某事物一致或相符，相当于tally
akin|adj. ~ to sth [正式] 相似的、类似的
alien|adj. ~ to sb/sth [贬] 不相容的、格格不入的
alienation|n. [U] [U] 格格不入
align|vt. ~ sth (with/to sth) 轻轻调整某事物使其与其他事物保持一致
alike|adj. 不用于名词前，非常相像的，十分相似的。程度通常较深
alike|adv. 1 十分相像地，非常相似地
ambassador|n. [C] 比喻用法中可指某事物的最佳代表
ambivalence|n. [U, sing.] ~ (about/towards sb/sth) 矛盾的心情
ambivalent|adj. ~ (about/towards sb/sth) 对某人或某事怀有矛盾感情的，如摇摆不定的、犹豫不决的
amount|vi. amount to sth 等于…，与…相同
analogous|adj. [正式] ~ (to/with sth) 相似的、类似的
and|conj. 用于连接重复的词，以强调同类的事物或人之间的重要差别
antithesis|n. 1 [C, U] [正式]（复数形式为antitheses）对立面；形成对立（或对照）的事物
apart|adj.（人们或群体间在某一话题或问题上）持有截然不同的观点的
apart|adv.（人们或群体间在某一话题或问题上）持有截然不同的观点地
approach|n. [sing.]（与提到过的事物）相似的一个事物
approximation|n. [C] ~ (of/to sth) 类似事物
archetype|n. [C]（某个人或事物的）完美典型
around|prep. [尤美] [英常用round] 同某人或某想法等一致；符合；适合
as|adv. 1 as ... as ... 用于比较，表示像…一样，如同
as|conj. 按照…的方式
as|conj. 用于为自己刚刚说过的话添加评论或信息，即正如，如同
as|prep. 如同，像
assimilate|vt.&vi. ~ (sb) (into/to sth)（一个国家、群体）将一个人同化
be|linking verb. 等于，等同于
beacon|n. [C] 对别人其激励作用的楷模
beauty|n. [C]（同类中）出色的典型，极好的榜样或例子
behalf|n. [sing.] on behalf of sb / on sb’s behalf 作为某人的代表（representative）
benchmark|n. [C] 基准、衡量标准
by|prep. 1 从…来看，按照…，依…
camp|n. [C] 比赛中的一方及其支持者，即阵营
canon|n. [C] [正式] 广泛认可的标准、准则
case|n. [C] 某种情况，或某种类型的情况，即事例，实例
characteristic|adj. characteristic (of sth/sb) 在某事物或某人的性格中非常典型的，如独特的、特有的
chasm|n. [sing.] [正式] ~ (between A and B)（两个人、团体或事物之间的）巨大分歧、巨大差距
cite|vt. [正式] ~ sth (as sth) 提及某事作为例子
clash|n. 1 [C] 两个彼此对立的事物之间的差别、差异、分歧
clash|n. [C] 两种颜色、图案等放在一起时的不协调、不搭（即看起来很丑）
clash|vi. ~ (with sth)（信念、思想或个性）迥然不同，彼此对立
classic|adj. 典型的，有代表性的，相当于classical
classic|adj.（风格或设计）典雅的，简约而传统的，不受时尚的变化影响的
classic|n. [C] 最优秀的、可作为典范的事物
clone|n. [C] [有时贬] 跟某个人或事物一模一样的人或事物，即复制品，翻版
close|adj. close (to sth)（与其他事物）酷似的；或（数量上）几乎相等的
coherence|n. [U] 各部分都协调一致（以形成一个整体）的一种状态或情况，如连贯性、条理性
coherent|adj.（看法、思想、论点等）合乎逻辑的、组织得有条理的、清晰易懂的
coincide|vi. ~ (with sth/sb) [正式]（物品或地方）相接、相交；拥有相同的空间位置
coincide|vi. ~ (with sth/sb)（想法、意见、利益等）相同或极其相似，如一致、相符
coincidence|n. [sing.] [正式]（两个或多个意见等的）相同，一致
collide|vi. [正式] ~ (with sb) (over sth)（人、意见、目标等）严重不一致、冲突、抵触
collision|n. [C, U] [正式] 两个人、对立意见、对立观点等之间的强烈冲突；两个极端不同事物的会面或相遇，可称为碰撞
comparable|adj. ~ (to/with sb/sth) 类似的、同类的
conflict|n. [C] 观点、想法、感情、意愿等事物之间的抵触、冲突、矛盾，难以抉择的情况
conflict|vi. conflict (with sth) 两种观点、信念、说法等相冲突，矛盾，与clash同义
conform|vi. ~ to sth 与某事物的样式、类型等相一致、相符合、相吻合
consistency|n. [U] [褒] 一致性；连贯性
consistent|adj. consistent with sth 与某事物一致的，相符的；与某事物不矛盾的
consonant|adj. ~ with sth [正式] 与…一致的、符合的、相同的、和谐的
continuity|n. [U] [术语]（电影或电视节目场景中服装、物体等的）一致性，衔接
contradict|vt.（一些陈述或证据）彼此相反，以致一定有一个是错误的，即相反，相抵触，相矛盾
contradiction|n. [C, U] ~ (between A and B) （事实、看法、行动等的）不一致，矛盾，对立
contradictory|adj. 含有（或表现出）一个矛盾的，即相互矛盾的，相当于conflicting。其描述对象即包含一个矛盾体
contrary|adj. 1 contrary to sth 与某事物不同的，相对立的，相反的。其描述对象为一对矛盾体中的一者
contrary|n. [sing.] the contrary 可指相反的事实（或事情、情况）
contrast|n. 1 [C, U] ~ (between A and B) / ~ (to/with sb/sth)（将两个或多个人或事物进行对比或放在一起时所看出来的）差异
contrast|vi. ~ (with sth)（靠近或作比较时）显出明显的差异
convention|n. 1 [C, U] 社会中大多数人认为礼貌或正确的做事方式，如传统
convention|n. [C, U] 社会中大多数人认为礼貌或正确的做事方式，如习俗
convention|n. [C, U] 社会中大多数人认为礼貌或正确的做事方式，如常规、惯例
conventional|adj. 1 [常含贬义] 倾向于遵循全社会约定俗成的做法或惯例的，平凡普通的，也许不是非常有趣的，即（行为观念等）依照惯例的，墨守成规的，遵从习俗的，普通平凡的
copy|n. [C] 艺术作品的复制品
copy|vt. 1 复制或仿造某个东西
correlate|vi. 极为相似
correspond|vi. 1 correspond (to/with sth) 和…相同；与…相符。相当于agree或tally
corresponding|adj. ~ (to sth) 符合的、相应的、与自己已提到的内容对应的
counterpart|n. [C]（在两个不同的地方、情形或时间中）职位（或作用）相同的人，可称为（两个地方、情形或时间中的）对应者
criterion|n. [C] 对某事物进行判断或评判时所采用的一个标准或原则；或做决定时所采用的一个标准或原则
cue|n. [sing.] take your ~ from sb/sth 模仿…的样子去做某事
custom|n. [C, U] custom (of doing sth) 一个社会或社区里被认可或接受的行为方式或做事方式，即习俗、风俗
custom|n. [sing.] [正式或文学] 一个人惯常的行为方式，即个人习惯或习性，相当于habit或practice
delegate|n. [C]（从一群人中选出来的）代表（以代表该群体的观点、或代表该群体进行选举或做决策），尤指会议代表
delegation|n. [C]（代表一个组织架构、国家等的）代表团
deputation|n. [C]（尤指代表更多人提出投诉的）代表团
differ|vi. A and B differ (from each other) / A differs from B 与…有区别，相异，不同于
differ|vi. differ (with sb) (about/on/over sth) 与某人意见有分歧，即不同意。不是太常用
difference|n. [C, U] difference (between A and B) / difference (in sth)（人们或事物之间的）差别，差异，不同之处；（某人或某事物的）变化之处
difference|n. [C] 人们之间的意见分歧或不和。是一个简单用词
different|adj. different (from/to/than sb/sth) 与…不同的，有差异的，有区别的。是此义的基础用词和常规用词，最为常用
disagree|vi. disagree (with sb) (about/on/over sth) 不同意，持不同意见，有分歧。是此义的基础用词，极为常用
disagree|vi.（陈述或报告）给出不同信息，即不符，不一致
disagreement|n. [U, C] disagreement (about/on/over/as to sth) / disagreement (among …) / disagreement between A and B 人们之间就某事的意见不一或分歧，通常伴随着争论。是此义的常规用词，最为常用
disagreement|n. [U, C] disagreement between A and B 两个本应相一致的事物之间的不符、不一致
discrepancy|n. [C, U] ~ (in sth) / ~ (between A and B) 两个或多个本应相同的事物之间的差异
disparity|n. [U, C] [正式] 差异，尤指不公正对待所引起的不同
dissent|n. 1 [U] 与官方、多数人或权威人士在观点、意见上的分歧
dissent|vi. ~ (from sth) [正式] 持有或表达与官方不同的观点
dissident|adj.（对自己所属的政府或自己所属的有权力的组织机构）持不同政见的、有不同意见的
dissimilar|adj. ~ (from/to sb/sth) 不一样的；不相同的；不相似的
distance|n. [C, usually sing., U]（两事物之间的）差异，或缺乏关联
distant|adj. distant (from sth) 与…不相似的，不同的，相当于remote
