afternoon|n. [U, C] 一天中的中午十二点至下午六点左右
all|det. 与单数名词连用，表示某事在某段时间内一直（或持续）发生，即全部的，整个的
along|adv. 一直。不太常用
always|adv. 1 总是；每次都是
anniversary|n. [C]（重要或特殊事件的）周年纪念日
autumn|n. [U, C] [尤英] [美通常用fall] 一年中的秋天，秋季
band-aid|adj.（问题的解决办法）短期有效的，权宜之计的，治标不治本的
bit|n. [sing.] [尤英] a bit（时间的）一会儿
brief|adj. 仅持续很短的一段时间的，短暂的
ceaseless|adj. [正式]（常指令人不快之事）不停的、看起来无休止的
century|n. 1 [C] 一百年的一段时间，百年
chronic|adj. 1（某人的坏习惯或行为）积习难改的、难以根除的
clear|adj. 只用于名词前，（一段时间）全部的，整体的，完整的
consistent|adj. 以相同的方式发生并持续一段时间的，如连续的，持续的
constant|adj. 常作前置定语，一直都在发生的，或重复发生的，即持续不断的，重复的
dawn|n. [U, C] 黎明，破晓
day|n. 1 [C] 一天，一日
daylight|n. [U] 白昼、白天
daytime|n. [U] 白天、白昼、日间
decade|n. [C] 十年的一段时间，尤指一个年代（如从1990年到1999年）
down|prep. 贯穿一段时间
dusk|n. [U] 黄昏，傍晚（但天色还未完全黑）
edge|n. [sing.] 常用the edge，指某事（尤指坏事）可能开始发生的一刻，相当于brink或verge
endless|adj. 持续很长一段时间且似乎没有尽头的
enduring|adj. 持续长时间的，持久的
ephemeral|adj. [正式] 持续短时间的，如短暂的、瞬息的
eve|n. [C] [旧时或文学] 傍晚；黄昏
evening|n. [C, U] 从下午到上床睡觉之间的一段时间，即晚上；傍晚
ever|adv. 1 用于否定句和疑问句，或用于与if连用的句子，表示在任何时候
expedient|n. [C] 权宜之计、应急措施
extend|vt. 使…持续更长时间
extension|n. [C] extension (of sth) 对某事所允许的一段额外的时间，即延长期，放宽的期限
fall|n. [C] [美] 秋天，相当于autumn
fit|n. [C] 一阵突然的、短时间的、控制不住的咳嗽或笑
forever|adv. 1（英也写作for ever）用于说明某一情况或状态将永远存在
fortnight|n. [C, usually sing.] [英] 两星期
fugitive|adj. [只用于名词前] [文学] 持续极短时间的，即短暂的、易逝的
hard|adv. 长时间地。不过不常用
hardly|adv. 刚一…就…
hour|n. 1 [C]（缩写为hr或hr.）小时
hour|n. [pl.] hours 可指长时间
immediacy|n. [U] [正式] 即时性；迫切性、紧迫性
immediacy|n. [U] [正式] 立即；迅速
immediate|adj. [常用于名词前] 迫切的
immediate|adj. 立即的、立刻的
immediately|adv. 1 没有任何拖延，即立即、立刻、马上，相当于at once
immortal|adj. 长生不老的、永生的
immortality|n. [U] 永生
imperative|adj. [名词前不常用] ~ (that…) / ~ (to do sth) [正式] 非常重要且急需关注或采取行动的，如迫切的、紧急的
improvisation|n. [U, C] 即兴的创作；即兴创作的作品
improvise|vt.&vi.（常因没有自己需要的东西）用手头的东西来临时拼凑、临时做
in|prep. 表示时间段达到一定的长度
indefinite|adj. 持续无限期的（即没有固定的截止时间）
instant|adj. 常置于名词前，立即（发生）的，立刻的，相当于immediate
instantaneous|adj. 立即发生的、立刻的、瞬间的
interim|adj. [只用于名词前] 暂时性的（直到出现一个长期的人或事物）、过渡性的
interminable|adj. 冗长的且令人厌烦的，如没完没了的
just|adv. 1 just as ... 正当…时
lapse|n. [C]（两件事发生的）间隔时间
length|n. [U, C]（某事所持续的）时间长度
length|n. [U] 长时间
lengthy|adj.（时间）很长的，通常是太长的
little|adj. 只作前置定语，（时间）短的；短暂的
long|adj. 1（时间）长的。是此义的常规用词，最为常用
makeshift|adj. [常用于名词前] 因真正的…还没做好准备，故而将…作为临时性的替代措施的，如权宜的
midnight|n. [U] 午夜十二点，子夜
minute|n. [C]（缩写为min.）分钟
